Interval,GMTIntervalEnd,MTLF,Averaged Actual,BAA
07/16/2026 18:00:00,07/16/2026 23:00:00,4561,,SWPW
07/16/2026 17:00:00,07/16/2026 22:00:00,49677,,SPP
07/16/2026 17:00:00,07/16/2026 22:00:00,4472,,SWPW
07/16/2026 16:00:00,07/16/2026 21:00:00,49398,,SPP
07/16/2026 16:00:00,07/16/2026 21:00:00,4341,,SWPW
07/16/2026 15:00:00,07/16/2026 20:00:00,48648,,SPP
07/16/2026 15:00:00,07/16/2026 20:00:00,4182,,SWPW
07/16/2026 14:00:00,07/16/2026 19:00:00,47628,,SPP
07/16/2026 14:00:00,07/16/2026 19:00:00,3981,,SWPW
07/16/2026 13:00:00,07/16/2026 18:00:00,46003,,SPP
07/16/2026 13:00:00,07/16/2026 18:00:00,3774,,SWPW
07/16/2026 12:00:00,07/16/2026 17:00:00,44153,,SPP
07/16/2026 12:00:00,07/16/2026 17:00:00,3577,,SWPW
07/16/2026 11:00:00,07/16/2026 16:00:00,42120,,SPP
07/16/2026 11:00:00,07/16/2026 16:00:00,3430,,SWPW
07/16/2026 10:00:00,07/16/2026 15:00:00,40021,,SPP
07/16/2026 10:00:00,07/16/2026 15:00:00,3297,,SWPW
07/16/2026 09:00:00,07/16/2026 14:00:00,38041,,SPP
07/16/2026 09:00:00,07/16/2026 14:00:00,3185,,SWPW
07/16/2026 08:00:00,07/16/2026 13:00:00,36230,,SPP
07/16/2026 08:00:00,07/16/2026 13:00:00,3092,,SWPW
07/16/2026 07:00:00,07/16/2026 12:00:00,34772,,SPP
07/16/2026 07:00:00,07/16/2026 12:00:00,2999,,SWPW
07/16/2026 06:00:00,07/16/2026 11:00:00,33825,,SPP
07/16/2026 06:00:00,07/16/2026 11:00:00,2975,,SWPW
07/16/2026 05:00:00,07/16/2026 10:00:00,33412,,SPP
07/16/2026 05:00:00,07/16/2026 10:00:00,3010,,SWPW
07/16/2026 04:00:00,07/16/2026 09:00:00,33630,,SPP
07/16/2026 04:00:00,07/16/2026 09:00:00,3085,,SWPW
07/16/2026 03:00:00,07/16/2026 08:00:00,34383,,SPP
07/16/2026 03:00:00,07/16/2026 08:00:00,3207,,SWPW
07/16/2026 02:00:00,07/16/2026 07:00:00,35573,,SPP
07/16/2026 02:00:00,07/16/2026 07:00:00,3349,,SWPW
07/16/2026 01:00:00,07/16/2026 06:00:00,37194,,SPP
07/16/2026 01:00:00,07/16/2026 06:00:00,3541,,SWPW
07/16/2026 00:00:00,07/16/2026 05:00:00,39903,,SPP
07/16/2026 00:00:00,07/16/2026 05:00:00,3908,,SWPW
07/15/2026 23:00:00,07/16/2026 04:00:00,42454,,SPP
07/15/2026 23:00:00,07/16/2026 04:00:00,4175,,SWPW
07/15/2026 22:00:00,07/16/2026 03:00:00,44754,,SPP
07/15/2026 22:00:00,07/16/2026 03:00:00,4333,,SWPW
07/15/2026 21:00:00,07/16/2026 02:00:00,46395,,SPP
07/15/2026 21:00:00,07/16/2026 02:00:00,4494,,SWPW
07/15/2026 20:00:00,07/16/2026 01:00:00,48153,,SPP
07/15/2026 20:00:00,07/16/2026 01:00:00,4574,,SWPW
07/15/2026 19:00:00,07/16/2026 00:00:00,49300,,SPP
07/15/2026 19:00:00,07/16/2026 00:00:00,4601,,SWPW
07/15/2026 18:00:00,07/15/2026 23:00:00,49771,,SPP
07/15/2026 18:00:00,07/15/2026 23:00:00,4611,,SWPW
07/15/2026 17:00:00,07/15/2026 22:00:00,49883,,SPP
07/15/2026 17:00:00,07/15/2026 22:00:00,4512,,SWPW
07/15/2026 16:00:00,07/15/2026 21:00:00,49541,,SPP
07/15/2026 16:00:00,07/15/2026 21:00:00,4355,,SWPW
07/15/2026 15:00:00,07/15/2026 20:00:00,48808,,SPP
07/15/2026 15:00:00,07/15/2026 20:00:00,4179,,SWPW
07/15/2026 14:00:00,07/15/2026 19:00:00,47894,,SPP
07/15/2026 14:00:00,07/15/2026 19:00:00,3975,,SWPW
07/15/2026 13:00:00,07/15/2026 18:00:00,46354,,SPP
07/15/2026 13:00:00,07/15/2026 18:00:00,3774,,SWPW
07/15/2026 12:00:00,07/15/2026 17:00:00,44588,,SPP
07/15/2026 12:00:00,07/15/2026 17:00:00,3592,,SWPW
07/15/2026 11:00:00,07/15/2026 16:00:00,42596,,SPP
07/15/2026 11:00:00,07/15/2026 16:00:00,3469,,SWPW
07/15/2026 10:00:00,07/15/2026 15:00:00,40467,,SPP
07/15/2026 10:00:00,07/15/2026 15:00:00,3344,,SWPW
07/15/2026 09:00:00,07/15/2026 14:00:00,38462,,SPP
07/15/2026 09:00:00,07/15/2026 14:00:00,3218,,SWPW
07/15/2026 08:00:00,07/15/2026 13:00:00,36609,,SPP
07/15/2026 08:00:00,07/15/2026 13:00:00,3110,,SWPW
07/15/2026 07:00:00,07/15/2026 12:00:00,35120,,SPP
07/15/2026 07:00:00,07/15/2026 12:00:00,2983,,SWPW
07/15/2026 06:00:00,07/15/2026 11:00:00,34251,,SPP
07/15/2026 06:00:00,07/15/2026 11:00:00,2959,,SWPW
07/15/2026 05:00:00,07/15/2026 10:00:00,33952,,SPP
07/15/2026 05:00:00,07/15/2026 10:00:00,2994,,SWPW
07/15/2026 04:00:00,07/15/2026 09:00:00,34204,,SPP
07/15/2026 04:00:00,07/15/2026 09:00:00,3067,,SWPW
07/15/2026 03:00:00,07/15/2026 08:00:00,35030,,SPP
07/15/2026 03:00:00,07/15/2026 08:00:00,3194,,SWPW
07/15/2026 02:00:00,07/15/2026 07:00:00,36341,,SPP
07/15/2026 02:00:00,07/15/2026 07:00:00,3350,,SWPW
07/15/2026 01:00:00,07/15/2026 06:00:00,38091,20432,SPP
07/15/2026 01:00:00,07/15/2026 06:00:00,3565,3781,SWPW
07/15/2026 00:00:00,07/15/2026 05:00:00,40916,41132,SPP
07/15/2026 00:00:00,07/15/2026 05:00:00,3966,3943,SWPW
07/14/2026 23:00:00,07/15/2026 04:00:00,43314,43921,SPP
07/14/2026 23:00:00,07/15/2026 04:00:00,4228,4204,SWPW
07/14/2026 22:00:00,07/15/2026 03:00:00,45685,46120,SPP
07/14/2026 22:00:00,07/15/2026 03:00:00,4395,4369,SWPW
07/14/2026 21:00:00,07/15/2026 02:00:00,47423,47504,SPP
07/14/2026 21:00:00,07/15/2026 02:00:00,4551,4569,SWPW
07/14/2026 20:00:00,07/15/2026 01:00:00,49114,49398,SPP
07/14/2026 20:00:00,07/15/2026 01:00:00,4628,4649,SWPW
07/14/2026 19:00:00,07/15/2026 00:00:00,50235,50401,SPP
07/14/2026 19:00:00,07/15/2026 00:00:00,4656,4673,SWPW
07/14/2026 18:00:00,07/14/2026 23:00:00,50508,50811,SPP
07/14/2026 18:00:00,07/14/2026 23:00:00,4671,4653,SWPW
07/14/2026 17:00:00,07/14/2026 22:00:00,50663,50749,SPP
07/14/2026 17:00:00,07/14/2026 22:00:00,4594,4546,SWPW
07/14/2026 16:00:00,07/14/2026 21:00:00,50637,50164,SPP
07/14/2026 16:00:00,07/14/2026 21:00:00,4472,4427,SWPW
07/14/2026 15:00:00,07/14/2026 20:00:00,50127,49350,SPP
07/14/2026 15:00:00,07/14/2026 20:00:00,4344,4274,SWPW
07/14/2026 14:00:00,07/14/2026 19:00:00,49016,48794,SPP
07/14/2026 14:00:00,07/14/2026 19:00:00,4138,4103,SWPW
07/14/2026 13:00:00,07/14/2026 18:00:00,47009,47430,SPP
07/14/2026 13:00:00,07/14/2026 18:00:00,3931,3932,SWPW
07/14/2026 12:00:00,07/14/2026 17:00:00,44934,45462,SPP
07/14/2026 12:00:00,07/14/2026 17:00:00,3750,3746,SWPW
07/14/2026 11:00:00,07/14/2026 16:00:00,42680,43221,SPP
07/14/2026 11:00:00,07/14/2026 16:00:00,3545,3580,SWPW
07/14/2026 10:00:00,07/14/2026 15:00:00,40416,40766,SPP
07/14/2026 10:00:00,07/14/2026 15:00:00,3412,3421,SWPW
07/14/2026 09:00:00,07/14/2026 14:00:00,38372,38583,SPP
07/14/2026 09:00:00,07/14/2026 14:00:00,3252,3289,SWPW
07/14/2026 08:00:00,07/14/2026 13:00:00,36450,36535,SPP
07/14/2026 08:00:00,07/14/2026 13:00:00,3130,3139,SWPW
07/14/2026 07:00:00,07/14/2026 12:00:00,35158,35045,SPP
07/14/2026 07:00:00,07/14/2026 12:00:00,3047,3037,SWPW
07/14/2026 06:00:00,07/14/2026 11:00:00,34243,34241,SPP
07/14/2026 06:00:00,07/14/2026 11:00:00,3048,3010,SWPW
07/14/2026 05:00:00,07/14/2026 10:00:00,34167,33899,SPP
07/14/2026 05:00:00,07/14/2026 10:00:00,3114,3052,SWPW
07/14/2026 04:00:00,07/14/2026 09:00:00,34047,34216,SPP
07/14/2026 04:00:00,07/14/2026 09:00:00,3210,3145,SWPW
07/14/2026 03:00:00,07/14/2026 08:00:00,34786,35044,SPP
07/14/2026 03:00:00,07/14/2026 08:00:00,3308,3272,SWPW
07/14/2026 02:00:00,07/14/2026 07:00:00,35763,36230,SPP
07/14/2026 02:00:00,07/14/2026 07:00:00,3373,3449,SWPW
07/14/2026 01:00:00,07/14/2026 06:00:00,37249,37901,SPP
07/14/2026 01:00:00,07/14/2026 06:00:00,3619,3683,SWPW
07/14/2026 00:00:00,07/14/2026 05:00:00,40152,40145,SPP
07/14/2026 00:00:00,07/14/2026 05:00:00,3919,3974,SWPW
